Title,Text,Rating,Trip Date
No Security,"Celebrated ma wife's birthday, as well as a family get togetherMy Edifice edition watch &amp; my brother,s Ray ban glass was misplaced somewhereNo one showed any interest in helping us to find itCleaning staffs said they didn't even seen anythingHotel management said they wil check &amp; will inform usBut still no one didVery bad feeling, that we choose that place",1,August 2016
Country spa wellness it self in illness club,"If you are a Member so please visit it.And any body offer to make member of country club membership once you visit then buy.Pool, indor games, theater is not workingRestaurant food is not goodThey don't have privet beach.Beach is too far and way not properSo don't...",2,October 2015
COUNTRY SPA KOVALAM EXPERIENCE,"Our family  reached Country Spa Kovalam, We found it to be a huge Resort. The Road reaching to Resort was single lane and very narrow. My kids enjoyed swimming in the Swimming pool, and it was very near to Beach. It was a perfect Holiday with no pollution, no noise and relaxation. Spa was good and although Resort was far from tourist places and there was no visible shops nearby. Food was good, full of variety and spices.The building was under renovation in which we were staying. hence our room was getting dirty every time we came in or went out. Construction should be done in off season  Overall pleasant and nice experience",4,January 2014
Not Recommended,"I booked this Resort (4 Rooms) during last week of September 2012. I was told by RCI that this Resort was recently renovated and is receiving some excellent reviews. Definitely NOT!!!The Deluxe Apartments meant for RCI Members are situated at a pathetic location just 10 meters away from the entrance to the resort. The only view that you will get from your rooms are people coming in and going out of the resort. People expecting beach view since they claim this a Beach Resort will be in for a shocker to start with. They do not have anything for entertainment except for 1 Swimming Pool. Resort sponsored activities can be enjoyed only in dream in this resort.Partial Kitchen is just limited to a microwave oven and coffee maker. How do they expect the visitors to use them without a single cutlery? No Plates, Spoons, Glasses and utensils available. Upon multiple requests, they gave a few of them with great hesitancy. Air conditioning did not work in 2 of the 4 rooms that I booked. They could not repair it for almost a day and the second day, they repaired just one. We had to live without AC in one of our room for the whole holiday. Pathetic!!!Resort Staffs do not know the meaning of HOSPITALITY. None of them even have a smiling face to begin with… Their approach towards the visitors made me think are we here for charity or on paid vacation? Do I need to say more?",1,September 2012
Beautiful Budget Resort,"Country club is a well known group of clubs in India who specialize in holidays. You can either sign up as a member and enjoy yearly holiday packages or even stay as a one -off tourist. We booked Country Club Wellness Resort, Kovalam for a week last year. For starters, I can tell you that we had a really good time there!We were  booked in the regular room which can accommodate two children under the age of 12. The room is spacious enough for an extra bed and has a corner dedicated to in room dining. The cane furniture adds a cool rustic feeling to the decor. Bathroom is basic and we missed having a bathtub for a good soak. However, the amenities are adequately replenished and a water heater ensures hot and cold water supply. The resort is spread over a few acres. A beautiful landscape and the tropical weather of Kerela ensures a beautiful view from each room. The spa was our favorite hangout which gives a taste of the ancient science of wellness - Ayruveda to its residents. Massages, scrubs, internal and external body treatments are reasonably priced and the therapists are well trained. An in-house Ayurveda doctor advises you carefully on the regimen. The spa also has an aesthetic swimming pool complete with a life guard. There is only one restaurant in the resort and it does get  a bit boring to dine in two times a day if you are staying for a long time. We preferred In-room dining in evenings. However, the breakfast buffet is amazing and caters to Indian as well as international palette. Don't miss the breakfast!  Standard excursions, Airport drop and pick up can be booked with the concierge and they are always willing to help. Overall, a beautiful resort with great value for money.Check for the monsoon months for an off season price. July is peak of monsoons so remember to carry your umbrella!",4,July 2010
FEEL AT HOME,"I am a Country Vacation member. The experience was superb.Right from reception to room transfer, food to entertainment and checkout - all had some personal touch .The staff also arranged evening get together in a party hall area where other inmates will also join. There will be some game , some dance etc.. It is a very good drive. People got chance to interact with each other which is not possible in other hotel stay. The spa, swimming pool were also very good.The Kovalam beach is just at the rear side of the facility. But there is no proper way/path to go there. We need to go thru' trees / bushes and there is likelihood of falling too. Also we cannot go to the beach during evening/night hour as there is no proper way/lighting arangement. There should be proper walkway exclusively for Country vacations guests . Hope Management will think of this very much needed improvement.",5,February 2017
Quiet resort polite staff,Set back from the sea by a rocky rubbled path the resort could do with some upgrading. The staff are polite and cleanliness is a positive feature. We ate almost all our meals at the resort. Noticeably a few guests dipped their hands directly in the cereal or idli despite there being serving spoons which put us off the buffet breakfast. The massage centre pestered us when we were resting by phone calls or coming to the door which put us off using the massage. Front desk staff restaurant staff and cleaners were efficient making it a pleasant stay.,4,October 2016
Rude management and staff,Never visit this resort..PFB reasons.1.Very Narrow road while reaching to this property2.Had to wait for half an hour before getting the room.3.Response from restraunt manager is very poor.4.Worst food quality and quantity5.Wi Fi speed is slower then 2G6.NO towels and drinking water in rooms.Had to call in reception 5 times before getting it.Very bad experience.. please avoid visiting it..,1,August 2016
worst service from the staff. They are very rude. Never stay in this resort.,I had 2 days stay in Country Spa Wellness Beach Resort. My experience was very bad. The rooms are ok with some damages in the floor. The behavior of the staff is very bad. We ordered food from the restaurant. The quantity was not enough to fill even one persons stomach. They do not provide you with hot water for drinking even if you request them. The manager of the restaurant speaks in the manner as if he is doing a favor to you by providing you food or maybe he feels as he is giving it for free. There is no proper staff in the reception. Any random person who hardly understands Hindi or English is present in the reception. There is no one to attend you when you reach the hotel. Our check in time was 12:00 pm but we reached at 4:00 pm but still our rooms were not ready. Please think for a while before you visit this resort. And next main point whatever you see in the restaurant menu card is not available for lunch or dinner. Finally you have to order what they want you to have not what you wish to have. And the wifi speed is also very slow.,1,August 2016
Worst Stay ever,"The property is located near to beach and other near by places; however it is not well maintained. Unfortunate I am member of country vacation and will regret it whole life. They promised with studio apartment but always give me deluxe room that too with no facilities. Coming back to this property, first they gave me room on the under construction block. The room was messy with leakage all over, stinky and AC not working. After long fight and arguments they shifted me to other room. It was better but not good. Staff is least bother to their guests and literally ignore your request. If you ask them anything extra then it's like asking a big favour from them. It is a beach property and they expect you to use same towels for the entire stay.  We literally had to request multiple times to change bed linen and if you see their bed linen, it is smelly and looks like never washed. For anything or everything I had to complain to the manager. That's a different story that it never worked out well. The only good thing is their restaurant and restaurant staff. I went to see the customer relationship manager and took out all my anger thinking that he may do something, but realise that I wasted my time to explain him and writing a big email to him and country club customer care.",2,August 2015
Stay in Country Spa Kovalam,"We booked this hotel via Country Club. we stayed near the pool facing room. Our room was like a separate cottage, duplex type of house as we were 4 Adults+ 2 Kids. Rooms look good when viewed from outside like a show off but inside they are poorly maintained. The roofs inside the bathroom corners are rusted and sometimes leaking. The bathroom doors are not closing properly, so temporarily they have put some low quality locks for closing. There are 2 pools , one for kids and another for Adults, but the one for Adults always seems to be under maintenance. When we went also, there was no water in the Adult pool. The kid's pool is max, 3 feet deep.  One good thing is that my daughter enjoyed playing in the pool during the stay.When we went, there was some Electricity Power Problem as the main transformer got damaged due to some heavy wind and coconut trees fell on the transformer line. But they were trying to fix it. So, all 3 days during our stay, they were running generator to fulfill the power supply. At nights, there was no power for 2 hours and we were sweating. Food was horrible. Though there are many varieties in the food, but the taste is very very bad and most of the dishes are not cooked/ boiled properly.In the breakfast menu, there was no salt in the dosa, we can separate rice from dhaal in the pongal as the rice is nothing but the yesterday night's balance white rice from the buffet menu. this much poor quality coconut chutney I have never tasted anywhere.  The money you pay for food is not at all worthy. If you want to order food and have, everything seems to be on the higher side. A plate of chilly chicken is charged at Rs. 450 plus tax.The Road to the Hotel is very very narrow and only one vehicle could travel at a time. It was almost half km from main road to the hotel in that narrow road. At the back side of the hotel is the Ashoka beach but the path to the beach from hotel back side looks like going for a trekking journey.When we stayed they provided one extra bed as we requested but they did not charge for the same. For anything, we need to place a request like water, bathroom soap, etc. These were not placed by default during room cleaning. Overall, service is good but the Hotel needs to be maintained well and food is not tasty for the money they charge.",3,May 2014
COUNTRY CLUB HAS TO IMPROVE  & MAINTAIN THE QUALITY.,"We &amp; our friends stayed in Country Club Kovalam in  the month of Jan 13.  for three days. Nice place, not maintained well, food is bad &amp; restaurant is not clean. We had bad experience on the first day, the room was full of bugs.To the beach their don't have a proper road. Need to improve a lot.",2,January 2013
Complete waste of a nice location,"As a part of our Kerala trip, we stayed in this hotel. From the pictures, it seemed a great place to be but we were very disappointed.Locaiton: The hotel is located near one of the most popular beaches, Ashok beach. But don't be misguided as some reviews say, it's a ""private beach"". It's not a private beach. It's completely public crowded beach. It takes around 200-300m walk to reach the beach. The path is not well maintained either. It stinks and dirty. Because of that you can't visit the beach in the night even if you want to. The rooms aren't well maintained either. The look very old and in need of maintenance. While checking out, I even heard some guests complaining about bugs/cockroaches found in their room.The nearby property, KTDC Samudra, is much better managed than this. Service: This was probably the worst part of the stay. The room we were provided was stinking until they had to use air freshener. The hot water wasn't coming in the bathroom. The housekeeping came and kept repairing for an hour, when we were wasting our time there just waiting. After which he told us that we'd have to shift the room. The new room had the same stinking. After some time, the A/C started leaking in the new room. The shower wasn't working well and in spite of requests, it was never fixed until we left. Overall, killed our experience.Food: We opted for MAP plan (includes breakfast and dinner). From the looks of it, the buffet had variety, but overall the food was not satisfying at all. If there is one good item, rest assured, it'd be empty at the table. Most of the standard food like corn flakes, were of below par quality. Overall, during our stay one of their representatives was asking us to opt for Country Club membership. After such a poor service, I doubt anyone would go for the membership.",2,January 2013
Please don't go....!,"It was our last 2 days stay of honeymoon trip in Country Spa. The first thing we saw after entering to room was cockroaches...! Terrible...!No phone connectivity... TV was not working...! No towels in the room...!Everytime we had to run to the reception for assistance. We purchased some fruits from local market and what we requested was 'An empty plate'... The restaurant manager told, ""We provide plates only with the food..!' Worst experience at the end of our honeymoon trip.",2,December 2012
Lovely roooms,"During My way to this hotel, I was concerned as road was very much raw and narrow. It was very much inside from main road but once i reached to my room. I forgot rest of the things and was happy with the arrangement. They have good restaurant and very beautiful view of kovalam beach. I recommend this hotels.",4,June 2011
Relaxing Holiday,"My family has Country Club membership and we are from Mangalore, Karnataka. After taking membership we decided to try it out and decided to visit their Kerala property. We decided to go to their Kovalam resort as it was near to our hometown and also offered good Auyrvedic therapies.  We called their RMC department and got our booking confirmed and told them specifically that we are going there for relaxing and asked them to make necessary arrangements. When we reached the property, we were welcomed with smiley faces and were checked-in immediately. The property is located close to Kovalam beach amidst complete greenery and has very serene settings. Room that was allotted to our family was spacious, cleanly kept and had good facilities. The air-conditioning was working fine and we had 24 hours hot water in the bathroom.  There was microwave as well but we did not use it. But I feel they need to improve on the room service. It took them about average time of 10 minutes to turn-around. Also, even in the restaurant, it was little bit delayed but not as much as the rooms.This property is bit away from the beach and I suggest asking the hotel staff for directions and best of locations and the road to be taken before you venture out. They had a travel desk which arranged for our local sightseeing and bit of shopping also. The Ayurvedic centre is very good here. We enjoyed many types of therapies, massages and the best was something they called hydro-therapy or a floating spa. This gives very good relaxation for the entire body. For us, they prepared some Ayuverdic dishes also. The instructors and the Ayurvedic physicians are very good at their job. They asked lot of questions about our lifestyle and calculated the best of therapies that were necessary for us and guided us accordingly. Our stay was very good and at the end of the holiday, we came home very relaxed.",5,September 2011
Decent Resort,Pros1. Courteous staff2. Good food3. Decent indoor activities4. Close proximity to the beachCons1. Rooms lack cleanliness2. Air conditioner perform poorly3. Property not maintained well4. Restaurant is dirty,2,March 2018
Spacious resort,"1. Excellent staff, very frendly 2. Door locks are not easy to operate, 3. Need to maintain the wooden furniture, getting foul smell, 4. Can improve the way to beach from the resort, 5. Very good food",3,November 2017
Good location but low maintenance,"Country Spa Wellness resort is at a very good location and good property. However the facility and rooms are not maintained well. They can improve and take advantage of location. Ashoka beach is just behind, like the hotel is in the hill top and you can get down 200m to the beach.",3,September 2017
Poorly maintained and unclean rooms and pool,"We have ifetime membership in country club. For booking they asked us to pay for breakfast in advance to block the rooms! 'Perks of being a life time member' maybe. When we checked the online price for the rooms it was almost close to what we had to pay for breakfast for 2 pax. We checked in and they took us to our rooms. Smelly, unclean poorly maintained interiors &amp; water was staging inside the bathroom. Checked out immediately. Went to see the swimming pools, one was under maintainence and the other was in poor condition.",2,July 2017
Not so good,The property is very near to the so called beach.. the beach is not like beaches in goa where you can play or relax. Its very small beach and nothing much u can do there other than sit and watch the high waves. there are couple of restaurants near the beaches with good view. The resort is not maintained properly. the rooms are not up to the mark. most of the stuff is either broken or not working. Restaurant on the other hand is nice and staff in the restaurant are great. There is indoor games room but it was closed due to some reason and we could not play anything for our 3 days stay. Main swimming pool was under maintenance and there is second swimming pool which is small. SPA prices are on the higher side.overall would not recommend to stay there if you have other options.,3,July 2016
Excellent Property & Friendly Staff,"staff,spa,food &amp; Travel desk  all are excellent and rooms were neat and cleaned planning to visit again in the season time,they said its very hard to get booking in the season time if it is not booked before",5,June 2015
Good Property With Spacious Family Rooms,"I have booked two property near KOVALAM beach, One if it was Country Spa Wellness Kovalam,I booked it through Hyderabad branch with a priority support from Mr.Wasim (Booking Support) which made our booking so easy and i recommend this for a family stay with big rooms with clean and best amenities.Its property campus is big with security for kids to play around and a big swimming pool for kids, access to the beach is at walk able distance.",4,May 2014
Country Spa Wellness Beach Resort,We stayed in Country Spa Wellness Beach Resort for 3 nights and our stay was ok.Though this resort is located near the beach the access road to beach is not very great.This resort is located near to major attractions like Poovar back water and Trivandrum.resort quality is average and interior &amp; exterior work was going on when we visited the resort this spoils the quality of resort.Barring few helpful employees the resort is not helpful for the tourists.,3,December 2013
nothing to appreciate,"We have visited these hotel in march first week, superior room is offered to us, but note that here isuperior just better than standard and below delux. so dont think you are getting best in the hotel. resort is near by beach. but you have to travel by very narrow street to reach at hotel. Ala- karte option is available unlike the other hotel in kerala( usually offering buffet). AC and fan was making noise and not rectified  even after reported twice. ambiance, food, location ..there is nothing to appreciate....its not bad but not upto the mark fulfill the expectation. they can improve at least by updating old amenities.",2,March 2014
Nice Rooms but remote location,Good if you are having a vehicle of your own.Few Good points:1. Rooms (I stayed in a beach view room)2. Friendly staffThings to work upon:1. Activities in the resort2. Road to beach3. Doctor on call4. Food taste.5. No directions for the first time visitor on the road towards the resort.I would say my satisfaction ratio: 4/10,2,March 2014
Country Spa Wellness Beach Resort,"JetPrivilege membership: 134250782Reached the hotel on 26th Oct'13.The road leading to the hotel is very narrow, you cannot find the hotel if you are on your own.Hotel location is very close to Kovalam beach.With in 5 minutes you are on the uncrowded part of Kovalam beach.Hotel property is well maintained and the rooms are neat and clean.I would not give high marks to housekeeping.Breakfast and lunch spread is good.",3,October 2013
most horrible stay ever.,"I feel sad to say this. But yes..it was..There was no sign on road leading to the hotel and most difficult was to find the location. And as you find the road be ready to get stuck in the way, its a one way!Rooms were damp and smelly. Bed sheets and covers were unclean. Room service too costly. Its not at all a beach resort. its about 200 meters away and on the path you can meet various insects and reptiles!Utterly Sad!",1,September 2013
Beach Property with namesake access to beach,The  property is located after a nerve racking one km long winding lane where not meeting an accident is guaranteed.Small property -no great shakes in maintenance&gt;restaurants leak &gt; food is terribleRooms/Cottages are ok but poorly maintained.Swimming pool was not working when we went thereNever to be repeated experience although its still better than Country Club De Goa,3,September 2013
"Country Spa Wellness Beach Resort, Kovalam",It was a great experience in Country Spa Wellness Beach Resort for two days in the 2nd week of January this year. Kids really enjoyed the stay. The location is just a wakable distance from the beach from the back door of the resort. Resort Management may look into laying a proper path way/road to reach the beach with some lights etc. to make it feel more safer in the night. Staff are polite and friendly. Though they are maintaining it well there is still lot of scope to improve it and to take it to an international standards.,4,January 2013
Could be better,"We were given this on an RCI exchange so it was free for us.  the reviews are probably justified but it would take very little for them to make this a lot better. First the management at the front desk were very helpful, and I cannot fault them.  They changed our first room when we asked (it overlooked the restaurant and smelt), the second was much nicer. But I have to say the toilet didn't look it was cleaned and the sink was cracked badly.  And there was almost never hot water in the shower. The air conditioning was incredibly noisy but they did improve that a bit for us. And there are no partial kitchen facilities at all - but we did have a fridge.  But no kettle. And attempts to get hot water just failed most days. Our telephone didn't work ever.  The towels smelt (we think from the spa) but they did change them when asked.  The spa treatments were good - but my second one was ruined by the massuese being interuppted (by a boyfriend?) at the door about 10 plus times.  The location was off the beaten track - you had to take a tuk tuk - but this was not difficult or expensive and we quite liked the chance to see the back streets.  The restaurant was poky and unattractive so we avoided that - that's a definite area for improvement.  And no bar.  Just a little extra spent on this place would bring it up to scratch.  We were well warned by the reviews so took an ""exotic Marigold"" approach - Staff were great and that made a huge difference.",2,December 2012
Bad Experience,"Hotel rooms were very uncomfirtable, bed sheets very yellow. lobby for smelly. Requested for a change in room and the alternate offered after one hour was even worse so have to stay with previous one as no choise. Staff is very unfriendly and rude. I don't recomend this   hotel to my fellow travellers. Location is also not very good as you have to go through small one way roads to reach hotel.",2,December 2012
Very tired and shabby looking,"I booked a superior room at the Country Spa hotel – which looked very shabby. The bathroom was old fashioned with dirty grouting. Attention was drawn to the fact that I had a beach view room. I suppose I could see the sea in the distance but before this, all I could see was a corrugated iron roof of the rooms below, barbed wire and rubbish. And the room was in the same block as the kitchens – with all the accompanying smells and noise – starting at 5 am. I had one meal in the restaurant – disgusting food with filthy table cloths in a very stuffy room. The reception staff are very friendly but they are working with very limited resources. If you walk down to the beach watch out for the very uneven surface and the cow pats!  It’s better to order an auto-rickshaw from reception to go to Lighthouse beach where there are plenty of bars, restaurants and shops. I’m sure there must be better hotels in Kovalam at non-luxury prices.",2,December 2011
HORRIBLE SERVICE & FOOD,"We stayed there for 2days &amp; 2nights. The service provided was awful. In fact, they don't have much to say as they are not offering much. Firstly, there was no hot water, then the washroom tap wasn't working, the bedsheets were not clean and had stains.It was pretty disgusting u know. The restaurants' utensils were not hygienic as it was not washed properly. The food was pricey but was not good at all. Later, at the room, we called room service to bring us some boiling water to make a hot drink. The server from the restaurant brought cold water. I really don't understand these people at the reception as well as they seem to ignore our problems when we complained. Terrible! That was our first and last stay at this place. Not again!",1,February 2011
Nice Spa resort,"Hi, I was accompanied by my spouse and 1 kid. Got a studio room facing the swimming pool. Nice compact resort. Resort has a swimming pool and Ayurvedic Spa with Jacoozi too. Room was spacious and clean with good asthetic look furniture. Room service and staff with excellent hospitality. Very close to Kovalam, Ashoka beach maybe 10 mins walk. Not too far from Trivandrum airport too. Food quality was good especially Kerala authentoc food.",4,April 2010
Pathetic place to stay,"I booked my stay with Country Spa and Wellness Resort Kovalam for 3 days 2 nights, and my stay has been a painful experience.Today morning (after my 1st night of stay) I woke up to find there was no water in both rooms we had booked. After multiple follow ups the person in reception reluctantly checked to find the motor pump was not switched on. Once the motor was switched on, we were asked to wait for 15 mins, which took almost 3 hours for the us to get the water. When asked, we were told there is blockage in the pipe. I spoke to the manager (Mr. Arun) who arranged for another room, for us to use the bathroom on urgent basis, which was filthy and worse than a public toilet. We asked the reception person to check and address the problem and ensure this does not happen again. And guess what at not even 24 hours have gone, there is no water In our bathroom. Such irresponsible people that they don't even care to switch on the motor pump in time. I had to run behind to get the water in our bathrooms.I've tried reaching Mr Arun a number of times. He neither picks up the phone nor does he care to ring back to check if his guests are facing any problems. Pathetic customer service!!!",1,June 2019
Good Resort,"Country Spa Kovalam is very good location.  Rooms are good and staffs are very co-operative, Evening activities they are conducting ie very good. Food was very tasty and variety of food also they are serving.",4,December 2017
Like it,"I am a member of Country Club and stayed here for three nights. It's a good resort with all amenities like swimming pool, kid's play area etc.But the best thing is the behaviour &amp; attitude of the staff. We were first given a room which is quite good with attached living room, but no sea view. Upon a simple request to the front desk ,they allotted the me the best sea view room. Quite big,clean linens, proper cleaning of room &amp; wash room everyday. Very good room service with smiling face. We didn't prebook the food and enjoyed a la carte. Good food with sufficient variety at reasonable prices. No complains. Beach is 100-150 meter away but no proper road which needs to be addressed.We checked out late at about 3 pm instead of 12 noon. No question raised by the management. Transparent billing. Very satisfactory stay. Like to go again.Thanks, Country Club.",4,February 2017
Good for stay,This is very good beach resort  for staying with family and well maintained also good human being well mannered staff non polluted atmosphere  overall all are positive very closed to beach and last but not least value for money thanks to all staff members,5,December 2016
It's a nice resort to spend Leisure Time,"The Country Spa Wellness Beach Resort is located at Ashoka Beach, Kovalam, Thiruvananthapuram, India.  The Resort Services such as Restaurant, House Keeping, Pool and SPA are seems to be good.Office Management and Billing Systems are very good.Way (About 1 KM) to the Resort is little Narrow, but most of the Resorts in Kovalam, Kerala are like that.Better to choose this resort in Winter Season.",3,April 2016
Bad rooms and the food is worst,the property si not maintained. i am a country club member so anyways i have been cheated and now the self property si horrible. the location is not on beach since many small resort with less price have beach facing rooms. food is horrible with palm oil. we only ordered biryani and the oil was bad . there are hotels nearby like curry leaf and sanjeevani so please do not eat here. the service is not much. Spa closed at 40m so no use and small trainee staff for the same. no view from room and less light post 6pm . carry torch if you are planning to go on beach  post 5 to see sun set. the hotel back road is very narrow.so be careful.form 1 year pool is under maintenance- the staff dont want to work only it seems.,1,February 2016
Paid Nightmare,"This is absolutely horrible. Reception area was full of smoke, apparently to repel mosquitoes. No one around except for reception boy. Room simply horrible. Shower is vertically on top of toilet. No shower curtains. Walls filthy, linen torn, furniture dirty and worn out, all one can see from window or balcony is filth. Lizards hanging on curtains. Beach at a fair distance connected by a dingy mud path through forest. Food deals are forced on you and food is totally substandard. No staff around to even come to room for on the spot assessment.Had booked 2 nights, could somehow hang on for one night before checking out first thing in morning, without any refund. Simply the worst room I have stayed in during my life.",1,January 2016
this is worst property to stay,"The room was not maintain properly.ther is no amenitis in room Tovels,beedsheet ,are so worst that you cant sleep well on bed .pls do not give this hotel too any one as i am alreday member of country club but i do not see this type of property any where. West of my money and time.",1,November 2014
"No proper approach road,Poor maintenance","Initially we had problems in finding the resort as the approach road was too narrow. On arrival though we were provided a room quickly, the irony was that the AC did not function.There were no other rooms available in the same category on that night as per the manager so we had to manage with open windows and a noisy fan.We were allotted another room the next day in a higher category though as I persuaded them to change my room.The swimming pool was non functional.The cleanliness of the room was average however the resort was poorly maintained with construction debris all over the place.The spa was the most horrible experience we had as the people were completely non professional and discourteous.The only best part was the access to quiet Ashoka Beach through the rear gate which made it easy for us to go to the beach as and when felt.",2,August 2014
